OverallQual,GrLivArea,GarageCars,SaleCondition,SalePrice
7,2218,3,Partial,365712
5,2342,0,Abnorml,202548
8,2387,2,Normal,422893
4,2252,1,AdjLand,187295
7,3369,3,Normal,454127
6,1835,2,Normal,318456
9,3078,3,Partial,578234
5,1124,1,Abnorml,158932
7,2654,2,Normal,382145
6,1987,1,Normal,276543
8,2890,3,Normal,497832
5,1456,0,Family,162345
7,3123,2,Alloca,398765
6,1765,1,Normal,265432
9,3541,3,Partial,612345
4,1321,0,Abnorml,142398
7,2456,2,Normal,356789
6,2019,1,Normal,278901
8,2678,3,Partial,487654
5,1567,0,Normal,172834